BryanCaraway,135.0,68.0,68.0,19.0,7.0,0,0
RaphaelAssuncao,135.0,65.0,68.0,23.0,4.0,0,0
RafaelloOliveira,155.0,68.0,72.0,17.0,7.0,0,0
ErikKoch,155.0,70.0,70.0,14.0,3.0,0,0
SeanO'Connell,205.0,73.0,75,15.0,6.0,0,0
GianVillante,205.0,75.0,75.0,12.0,5.0,0,0
DominiqueSteele,170.0,72.0,73,14.0,9.0,0,0
LukeJumeau,170.0,71.0,73,12.0,3.0,0,0
DamonJackson,155.0,71.0,73,9.0,1.0,0,0
LevanMakashvili,145.0,68.0,69.0,10.0,2.0,0,0
KevinCasey,185.0,71.0,77.0,9.0,4.0,0,0
RafaelNatal,185.0,72.0,77.0,21.0,6.0,0,0
DannyCastillo,155.0,69.0,71.0,17.0,8.0,0,0
PaulFelder,155.0,70.0,67,10.0,0.0,0,0
PatrickCummins,205.0,74.0,71,8.0,4.0,0,0
AntonioRogerioNogueira,205.0,74.0,75.0,22.0,7.0,0,0
AnthonyWaldburger,170.0,71.0,75.0,16.0,9.0,0,0
WendellOliveiraMarques,170.0,70.0,70,24.0,8.0,0,0
JakeMatthews,155.0,71.0,76,11.0,2.0,0,0
KevinLee,155.0,69.0,71,13.0,2.0,0,0
BenSaunders,170.0,74.0,78.0,20.0,7.0,0,0
CourtMcGee,170.0,71.0,76.0,19.0,6.0,0,0
JasonSaggo,155.0,71.0,75,10.0,2.0,0,0
PaulFelder,155.0,70.0,77,9.0,0.0,0,0
RashidMagomedov,155.0,69.0,67,19.0,1.0,0,0
GilbertBurns,170.0,70.0,68,10.0,1.0,0,0
SoaPalelei,265.0,76.0,76,20.0,3.0,0,0
PatBarry,235.0,71.0,75.0,8.0,7.0,0,0
BelalMuhammad,170.0,70.0,74,10.0,1.0,0,0
AugustoMontano,170.0,74.0,69,15.0,3.0,0,0
RafaeldosAnjos,155.0,69.0,71.0,25.0,9.0,0,0
TonyFerguson,155.0,71.0,76.0,23.0,3.0,0,0
JohnMoraga,125.0,66.0,71,16.0,6.0,0,0
SergioPettis,135.0,66.0,72,15.0,2.0,0,0
CodyGarbrandt,135.0,67.0,74,6.0,0.0,0,0
MarcusBrimage,135.0,64.0,71.0,7.0,4.0,0,0
JulianErosa,155.0,73.0,75.0,15.0,3.0,0,0
MarcinWrzosek,155.0,69.0,71,10.0,4.0,0,0
KetlenVieira,135.0,63,70,8.0,0.0,0,0
AshleeEvans-Smith,135.0,68.0,70,5.0,2.0,0,0
JoshSampo,125.0,65.0,67,11.0,2.0,0,0
RyanBenoit,125.0,65.0,76,7.0,3.0,0,0
GabrielBenitez,145.0,68.0,70,18.0,5.0,0,0
ClayCollard,145.0,71.0,76,14.0,6.0,0,0
GegardMousasi,185.0,73.0,76.0,34.0,4.0,0,0
RonaldoSouza,185.0,73.0,74.0,20.0,3.0,0,0
WilsonReis,135.0,64.0,68,20.0,6.0,0,0
DustinOrtiz,125.0,65.0,75,15.0,5.0,0,0
BobbyGreen,155.0,70.0,67,23.0,5.0,0,0
JoshThomson,155.0,70.0,71.0,20.0,7.0,0,0
DmitrySmolyakov,253.0,74.0,76,8.0,2.0,0,0
CyrilAsker,250.0,74.0,75,8.0,2.0,0,0
PatrickCote,170.0,71.0,75.0,23.0,9.0,0,0
JoshBurkman,170.0,70.0,74.0,28.0,12.0,0,0
FrankieEdgar,145.0,66.0,72.0,19.0,4.0,0,0
ChadMendes,145.0,66.0,66.0,17.0,4.0,0,0
AnthonyBirchak,135.0,68.0,74,12.0,3.0,0,0
ThomasAlmeida,135.0,67.0,72,21.0,0.0,0,0
FranciscoRivera,135.0,69.0,70.0,10.0,2.0,0,0
TakeyaMizugaki,135.0,67.0,70.0,19.0,7.0,0,0
